country_code,wikipedia_pageviews,date
DE,10921014,2023-03-22
DK,137454,2023-03-22
EE,27024,2023-03-22
ES,3021312,2023-03-22
FI,468163,2023-03-22
HU,292929,2023-03-22
IE,421821,2023-03-22
IT,5565058,2023-03-22
LT,53746,2023-03-22
LV,15728,2023-03-22
NO,122212,2023-03-22
PL,2061992,2023-03-22
PT,219549,2023-03-22
RO,340282,2023-03-22
SE,459037,2023-03-22
SK,86171,2023-03-22
AT,302029,2023-03-23
BE,348922,2023-03-23
CH,204354,2023-03-23
DE,10538748,2023-03-23
DK,204738,2023-03-23
EE,24459,2023-03-23
ES,2843701,2023-03-23
FI,495398,2023-03-23
HU,288711,2023-03-23
IE,350801,2023-03-23
IT,5791062,2023-03-23
LT,49392,2023-03-23
LV,15523,2023-03-23
NO,128743,2023-03-23
PL,2101390,2023-03-23
PT,461195,2023-03-23
RO,308803,2023-03-23
SE,472101,2023-03-23
SK,71679,2023-03-23
AT,427347,2023-03-24
BE,475300,2023-03-24
CH,1017918,2023-03-24
DE,13537458,2023-03-24
DK,191478,2023-03-24
EE,29992,2023-03-24
ES,2787617,2023-03-24
FI,504391,2023-03-24
HU,280254,2023-03-24
IE,406649,2023-03-24
IT,5689414,2023-03-24
LT,42707,2023-03-24
LV,18926,2023-03-24
NO,160208,2023-03-24
PL,2491915,2023-03-24
PT,280839,2023-03-24
RO,272163,2023-03-24
SE,681660,2023-03-24
SK,79662,2023-03-24
AT,398620,2023-03-25
BE,423174,2023-03-25
CH,724174,2023-03-25
DE,13925975,2023-03-25
DK,172665,2023-03-25
EE,27592,2023-03-25
ES,3194482,2023-03-25
FI,509296,2023-03-25
HU,345253,2023-03-25
IE,447128,2023-03-25
IT,6016976,2023-03-25
LT,34972,2023-03-25
LV,12172,2023-03-25
NO,174741,2023-03-25
PL,2141322,2023-03-25
PT,213508,2023-03-25
RO,340445,2023-03-25
SE,757013,2023-03-25
SK,63359,2023-03-25
AT,479358,2023-03-26
BE,483599,2023-03-26
CH,301773,2023-03-26
DE,14854810,2023-03-26
DK,270252,2023-03-26
EE,33640,2023-03-26
ES,3336814,2023-03-26
FI,523881,2023-03-26
HU,400142,2023-03-26
IE,449073,2023-03-26
IT,7716374,2023-03-26
LT,40406,2023-03-26
LV,11956,2023-03-26
NO,147528,2023-03-26
PL,3020123,2023-03-26
PT,319698,2023-03-26
RO,337832,2023-03-26
SE,620770,2023-03-26
SK,96424,2023-03-26
AT,404315,2023-03-27
BE,401427,2023-03-27
CH,230138,2023-03-27
DE,13152584,2023-03-27
DK,164697,2023-03-27
EE,29033,2023-03-27
ES,2806798,2023-03-27
FI,436249,2023-03-27
HU,388783,2023-03-27
IE,417549,2023-03-27
IT,6318648,2023-03-27
LT,48154,2023-03-27
LV,15197,2023-03-27
NO,125611,2023-03-27
PL,2597055,2023-03-27
PT,218446,2023-03-27
RO,323557,2023-03-27
SE,569021,2023-03-27
SK,86062,2023-03-27
AT,393411,2023-03-28
BE,411378,2023-03-28
CH,231244,2023-03-28
CZ,91,2023-03-28
DE,11911793,2023-03-28
DK,141683,2023-03-28
EE,24869,2023-03-28
ES,2806886,2023-03-28
FI,430900,2023-03-28
HU,328165,2023-03-28
IE,346668,2023-03-28
IT,5792198,2023-03-28
LT,49510,2023-03-28
LV,14234,2023-03-28
NO,166902,2023-03-28
PL,2306582,2023-03-28
PT,241338,2023-03-28
RO,331295,2023-03-28
SE,515426,2023-03-28
SK,83242,2023-03-28
AT,331149,2023-03-29
BE,333724,2023-03-29
CH,219567,2023-03-29
CZ,90,2023-03-29
DE,11162759,2023-03-29
DK,139784,2023-03-29
EE,25028,2023-03-29
ES,2771274,2023-03-29
FI,410208,2023-03-29
HU,291193,2023-03-29
IE,351008,2023-03-29
IT,5828669,2023-03-29
LT,50104,2023-03-29
LV,14885,2023-03-29
NO,115787,2023-03-29
PL,2080900,2023-03-29
PT,187723,2023-03-29
RO,318160,2023-03-29
SE,461904,2023-03-29
SK,74403,2023-03-29
AT,300358,2023-03-30
BE,313450,2023-03-30
CH,175031,2023-03-30
DE,9279134,2023-03-30
DK,128505,2023-03-30
EE,27741,2023-03-30
ES,2595297,2023-03-30
FI,449834,2023-03-30
HU,270547,2023-03-30
IE,283147,2023-03-30
IT,5524491,2023-03-30
LT,44703,2023-03-30
LV,13781,2023-03-30
NO,107741,2023-03-30
PL,2044411,2023-03-30
PT,151515,2023-03-30
RO,258006,2023-03-30
SE,450225,2023-03-30
SK,63987,2023-03-30
AT,340818,2023-03-31
BE,450579,2023-03-31
CH,187431,2023-03-31
CZ,92,2023-03-31
DE,8828427,2023-03-31
DK,164607,2023-03-31
EE,27341,2023-03-31
ES,2602421,2023-03-31
FI,453126,2023-03-31
HU,250139,2023-03-31
IE,328635,2023-03-31
IT,5459829,2023-03-31
LT,36838,2023-03-31
LV,13728,2023-03-31
NO,125950,2023-03-31
PL,1954718,2023-03-31
PT,174560,2023-03-31
RO,232325,2023-03-31
SE,675744,2023-03-31
SK,63257,2023-03-31
AT,365002,2023-04-01
BE,414047,2023-04-01
CH,216569,2023-04-01
DE,11030900,2023-04-01
DK,148027,2023-04-01
EE,26694,2023-04-01
ES,2800914,2023-04-01
FI,472328,2023-04-01
HU,325756,2023-04-01
IE,384773,2023-04-01
IT,5635373,2023-04-01
LT,32955,2023-04-01
LV,10633,2023-04-01
NO,116336,2023-04-01
PL,2165254,2023-04-01
